Aktivitätstyp,Datum,Favorit,Titel,Distanz,Kalorien,Zeit,Ø Herzfrequenz,Maximale Herzfrequenz,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Ø Pace,Beste Pace,Anstieg gesamt,Abstieg gesamt,Ø Schrittlänge,Durchschnittliches vertikales Verhältnis,Ø vertikale Bewegung,Ø Bodenkontaktzeit,Ø Schrittfrequenz (Laufen),Max. Schrittfrequenz (Laufen),Training Stress Score®,Ø Leistung,Max. Leistung,Grit,Flow,Ø Swolf,Ø Schlagrate,Wiederholungen insgesamt,Tauchzeit,Minimale Temperatur,Oberflächenpause,Dekompression,Beste Rundenzeit,Anzahl der Runden,Maximale Temperatur,Zeit in Bewegung,Verstrichene Zeit,Minimale Höhe,Maximale Höhe
Laufen,2022-08-19 07:22:51,false,"Murnau a. Staffelsee Laufen","3.09","208","00:18:19","142","170","165","170","5:55","5:01","74","65","1.02","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","00:28.93","4","0.0","00:18:19","00:18:19","652","734"
Laufen,2022-08-16 06:31:25,false,"Murnau a. Staffelsee Laufen","5.22","340","00:27:31","154","177","166","173","5:16","4:35","119","115","1.15","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","01:12.49.1","6","0.0","00:27:26","00:45:10","648","681"
Laufbandtraining,2022-08-12 18:11:14,false,"Laufbandtraining","2.01","122","00:11:33","134","148","165","170","5:45","4:55","--","--","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","00:02.07.2","3","0.0","00:11:29","00:11:33","--","--"
Laufen,2022-08-02 07:43:37,false,"Lecco Laufen","3.17","204","00:18:06","140","155","160","170","5:43","4:49","32","32","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","00:53.32.7","4","0.0","00:18:01","00:18:39","197","221"
Laufen,2022-07-31 06:53:53,false,"Lecco Laufen","5.06","338","00:26:18","158","173","165","175","5:12","3:48","30","26","1.17","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","00:21.05.5","6","0.0","00:25:55","00:27:32","199","212"
Laufen,2022-07-28 06:16:52,false,"Dübendorf Laufen","3.55","227","00:18:51","147","161","163","170","5:19","4:47","30","33","1.16","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","02:48.48.1","4","0.0","00:18:46","00:18:58","429","454"
Laufen,2022-07-25 06:57:55,false,"Dübendorf Laufen","2.00","127","00:10:19","150","167","165","172","5:09","3:40","10","12","1.18","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","00:01.26.1","3","0.0","00:10:19","00:10:19","427","439"
Laufen,2022-06-30 05:39:15,false,"Seehausen a. Staffelsee Laufen","7.54","490","00:40:16","153","171","166","172","5:21","4:44","106","129","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","03:04.21.8","8","0.0","00:40:14","00:40:16","648","684"
Laufbandtraining,2022-06-21 07:22:11,false,"Laufbandtraining","2.00","133","00:11:29","144","159","165","173","5:45","4:31","--","--","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","00:44.73","3","0.0","00:11:16","00:11:29","--","--"
Laufbandtraining,2022-06-03 07:35:43,false,"Laufbandtraining","2.46","155","00:12:01","157","174","170","175","4:53","3:53","--","--","1.20","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","02:22.97","3","0.0","00:12:01","00:12:01","--","--"
Laufen,2022-05-18 07:44:40,false,"Dübendorf Laufen","3.08","191","00:15:23","148","163","169","173","4:59","3:57","37","38","1.19","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","00:27.78","4","0.0","00:15:13","00:15:58","438","478"
Laufen,2022-05-06 05:24:03,false,"Dübendorf Laufen","5.01","330","00:27:04","149","165","167","173","5:24","4:47","20","21","1.11","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","00:01.63.1","6","0.0","00:27:03","00:27:04","427","448"
Laufen auf der Bahn,2022-04-29 07:08:31,false,"Wallisellen Laufen auf der Bahn","2,810","162","00:12:06","166","187","168","203","4:18","3:01","29","21","1.38","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","04:35.86","2","0.0","00:11:52","00:12:49","445","457"
Laufen,2022-04-28 19:04:26,false,"Dübendorf Laufen","0.94","62","00:05:13.1","145","161","161","170","5:32","4:34","6","1","1.12","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","05:13.05.8","1","0.0","00:05:07","00:06:15.0","433","442"
Laufbandtraining,2022-04-25 14:12:32,false,"Laufbandtraining","3.00","191","00:14:44","159","180","167","175","4:55","4:15","--","--","1.09","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","03:51.96.2","3","0.0","00:14:44","00:14:44","--","--"
Laufen,2022-04-20 06:08:34,false,"Dübendorf Laufen","1.34","78","00:08:02.2","121","139","165","172","5:59","5:02","15","9","1.01","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","02:02.66.6","2","0.0","00:08:01.5","00:09:15.9","427","445"
Laufen,2022-04-06 07:40:14,false,"Dübendorf Laufen","5.02","329","00:26:35","153","181","166","174","5:18","4:46","39","41","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","00:36.43.2","6","0.0","00:26:32","00:28:11","427","466"
Laufen,2022-04-04 07:18:20,false,"Dübendorf Laufen","11.01","757","00:58:18","164","190","166","176","5:18","4:06","270","271","1.14","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","00:00.87.5","12","0.0","00:58:08","00:59:59","432","682"
Laufen,2022-03-27 09:14:21,false,"München Laufen","5.01","329","00:26:22","150","174","168","173","5:16","4:10","25","33","1.13","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","00:01.33","6","0.0","00:26:20","00:26:22","498","520"
Laufbandtraining,2022-03-24 08:05:24,false,"Laufbandtraining","2.00","132","00:10:28","153","175","170","175","5:14","5:10","--","--","1.05","0.0","0.0","0","0","0","0.0","0","0","0.0","0.0","0","0","0","0:00","0.0","0:00","Nein","04:48.71.6","2","0.0","00:10:28","00:10:28","--","--"
